LOCATION,TIME,CO,CO2,GHG,NOX,SOX,VOC
AUS,1977,0.0,209.639366,0.0,0.0,0.0,0.0
AUS,1978,0.0,204.330637,0.0,0.0,0.0,0.0
AUS,1979,0.0,210.898887,0.0,0.0,0.0,0.0
AUS,1980,0.0,220.68960900000002,0.0,0.0,0.0,0.0
AUS,1981,0.0,221.261561,0.0,0.0,0.0,0.0
AUS,1982,0.0,227.736649,0.0,0.0,0.0,0.0
AUS,1983,0.0,214.869512,0.0,0.0,0.0,0.0
AUS,1984,0.0,221.395087,0.0,0.0,0.0,0.0
AUS,1985,0.0,234.068059,0.0,0.0,0.0,0.0
AUS,1986,0.0,235.33541100000002,0.0,0.0,0.0,0.0
AUS,1987,0.0,246.064091,0.0,0.0,0.0,0.0
AUS,1988,0.0,255.372247,0.0,0.0,0.0,0.0
AUS,1989,0.0,269.39293499999997,0.0,0.0,0.0,0.0
AUS,1990,6064.261,276.693957,438082.42699999997,1715.4119999999998,1678.077,1603.395
AUS,1991,6079.665,278.077607,438074.63399999996,1688.0059999999999,1660.795,1593.365
AUS,1992,6233.789,282.213441,441777.45399999997,1735.42,1746.54,1597.303
AUS,1993,6467.664,286.269543,442307.56200000003,1779.886,1841.1,1614.664
AUS,1994,6614.625,292.44145999999995,442635.414,1781.296,1863.377,1626.292
AUS,1995,6447.015,303.254351,451101.516,1787.086,1766.335,1607.352
AUS,1996,6626.434,313.51885500000003,457600.101,1840.3500000000001,1858.0459999999998,1574.335
AUS,1997,6639.2390000000005,321.684577,469861.19100000005,1895.588,1916.138,1571.3490000000002
AUS,1998,6260.321,342.162767,484063.13499999995,1933.6699999999998,1836.491,1559.2779999999998
AUS,1999,6112.246999999999,348.433345,489997.209,1966.116,1929.105,1524.5620000000001
AUS,2000,5669.942,354.393183,501615.349,1973.8980000000001,2465.583,1489.9540000000002
AUS,2001,5387.827,360.869763,509482.511,2061.2200000000003,2718.519,1478.2060000000001
AUS,2002,5241.998,369.079967,513197.32999999996,2144.054,2917.188,1493.136
AUS,2003,4727.461,368.29990100000003,511740.15699999995,2228.603,2915.248,1311.8029999999999
AUS,2004,4823.659,382.147603,528853.961,2283.5080000000003,2638.346,1319.806
AUS,2005,4169.975,384.640343,535616.302,2303.024,2645.026,1295.4080000000001
AUS,2006,4136.496999999999,389.97325700000005,540044.1880000001,2312.528,2604.004,1302.6580000000001
AUS,2007,3543.557,400.36193599999996,546765.767,2320.0860000000002,2562.117,1260.063
AUS,2008,3377.911,403.467727,549154.664,2373.079,2630.592,1254.917
AUS,2009,3302.232,409.66821400000003,552152.806,2354.132,2717.6820000000002,1266.79
AUS,2010,3128.977,412.095827,547197.5970000001,2446.666,2486.0480000000002,1249.571
AUS,2011,3072.5699999999997,409.912443,549031.928,2393.7670000000003,2619.2279999999996,1260.216
AUS,2012,3034.156,410.315808,552329.8450000001,2545.834,2628.857,1268.094
AUS,2013,2965.114,402.91313,543822.188,2615.33,2518.564,1280.4479999999999
AUS,2014,2890.6209999999996,392.729885,535474.25,2634.173,2606.188,1307.501
AUS,2015,2835.441,399.377074,544254.6669999999,2650.7509999999997,2484.984,1336.741
AUS,2016,2767.812,409.513287,552377.662,2717.378,2567.585,1309.9569999999999
AUS,2017,2914.944,411.800131,559603.856,2795.897,2380.723,1355.493
AUS,2018,2671.282,410.170534,560849.863,2881.211,2166.427,1313.007
AUS,2019,2493.23,407.849485,555266.821,2837.015,2237.101,1221.706
AUS,2020,2396.734,392.101223,536760.608,3093.517,2161.36,1194.307
AUS,2021,0.0,396.5744061,528652.187,0.0,0.0,0.0
AUT,1960,0.0,34.713347,0.0,0.0,0.0,0.0
AUT,1961,0.0,34.97587,0.0,0.0,0.0,0.0
AUT,1962,0.0,38.06669,0.0,0.0,0.0,0.0
AUT,1963,0.0,42.004641,0.0,0.0,0.0,0.0
AUT,1964,0.0,42.89806,0.0,0.0,0.0,0.0
AUT,1965,0.0,41.826062,0.0,0.0,0.0,0.0
AUT,1966,0.0,42.103061000000004,0.0,0.0,0.0,0.0
AUT,1967,0.0,42.900855,0.0,0.0,0.0,0.0
AUT,1968,0.0,45.931508,0.0,0.0,0.0,0.0
AUT,1969,0.0,48.727318999999994,0.0,0.0,0.0,0.0
AUT,1970,0.0,52.689828,0.0,0.0,0.0,0.0
AUT,1971,0.0,55.087013,0.0,0.0,0.0,0.0
AUT,1972,0.0,57.087481,0.0,0.0,0.0,0.0
AUT,1973,0.0,60.899202,0.0,0.0,0.0,0.0
AUT,1974,0.0,57.864609,0.0,0.0,0.0,0.0
AUT,1975,0.0,56.018796,0.0,0.0,0.0,0.0
AUT,1976,0.0,61.078382000000005,0.0,0.0,0.0,0.0
AUT,1977,0.0,58.107818,0.0,0.0,0.0,0.0
AUT,1978,0.0,60.765985,0.0,0.0,0.0,0.0
AUT,1979,0.0,63.326144,0.0,0.0,0.0,0.0
AUT,1980,0.0,61.555279000000006,0.0,0.0,0.0,0.0
AUT,1981,0.0,58.364551,0.0,0.0,0.0,0.0
AUT,1982,0.0,56.347713,0.0,0.0,0.0,0.0
AUT,1983,0.0,55.930116,0.0,0.0,0.0,0.0
AUT,1984,0.0,57.710218000000005,0.0,0.0,0.0,0.0
AUT,1985,0.0,59.609019,0.0,0.0,0.0,0.0
AUT,1986,0.0,58.460992,0.0,0.0,0.0,0.0
AUT,1987,0.0,59.307548000000004,0.0,0.0,0.0,0.0
AUT,1988,0.0,56.980348,0.0,0.0,0.0,0.0
AUT,1989,0.0,57.006354,0.0,0.0,0.0,0.0
AUT,1990,1416.692,68.40268,79057.527,246.304,83.226,377.55199999999996
AUT,1991,1422.9750000000001,72.858227,82721.822,256.801,79.774,370.83000000000004
AUT,1992,1357.039,67.81299200000001,76152.51999999999,243.441,61.036,343.948
AUT,1993,1285.668,67.991954,76527.543,233.446,59.422,321.875
AUT,1994,1210.6280000000002,68.516176,76735.63500000001,223.893,53.045,296.39
AUT,1995,1092.991,72.135362,79963.29699999999,222.796,52.6,278.464
AUT,1996,1086.325,76.118925,83123.37,242.686,49.384,267.693
AUT,1997,1002.474,75.373136,82730.00799999999,227.141,45.397,251.51
AUT,1998,951.002,76.184085,82023.181,240.245,40.022,242.111
AUT,1999,819.644,74.668097,80465.21699999999,230.915,37.886,229.451
AUT,2000,814.05,75.22658200000001,80629.42499999999,237.062,35.437,202.209
