0,1,2,3,4,5
Gangbuk-gu,2023-01-07,91886,Gangdong-gu,2023-04-18,4372.0
Gwanak-gu,2023-01-07,33861,Gangnam-gu,2023-04-18,18801.0
Jung-gu,2023-01-07,76346,Gwangjin-gu,2023-04-18,5980.0
Seoul_Grand_Park,2023-01-08,11190,Jongno-gu,2023-04-18,2749.0
Dobong-gu,2023-01-08,108001,Seongdong-gu,2023-04-18,1145.0
Gwangjin-gu,2023-01-08,72100,Yongsan-gu,2023-04-18,185.0
Guro-gu,2023-01-08,119787,Seocho-gu,2023-04-18,21149.0
Gangseo-gu,2023-01-08,43960,Seodaemun-gu,2023-04-18,2864.0
Gangdong-gu,2023-01-08,90901,Jung-gu,2023-04-18,22738.0
Gangbuk-gu,2023-01-08,80246,Eunpyeong-gu,2023-04-18,2119.0
Seocho-gu,2023-01-08,36377,Gangbuk-gu,2023-04-18,1816.0
Nowon-gu,2023-01-08,49350,Mapo-gu,2023-04-18,894.0
Mapo-gu,2023-01-08,102001,Yongsan-gu,2023-04-19,138.0
Yangcheon-gu,2023-01-08,92256,Jung-gu,2023-04-19,28276.0
Dongjak-gu,2023-01-08,140844,Seoul_Grand_Park,2023-04-19,7617.0
Seodaemun-gu,2023-01-08,5075,Gwanak-gu,2023-04-19,1972.0
Songpa-gu,2023-01-08,25890,Gangdong-gu,2023-04-19,4373.0
Seongdong-gu,2023-01-08,4062,Mapo-gu,2023-04-19,1036.0
Jung-gu,2023-01-08,69536,Eunpyeong-gu,2023-04-19,2529.0
Eunpyeong-gu,2023-01-08,3586,Songpa-gu,2023-04-19,2072.0
Gangnam-gu,2023-01-08,97513,Gangseo-gu,2023-04-19,5423.0
Jungnang-gu,2023-01-08,43905,Yangcheon-gu,2023-04-19,2788.0
Jongno-gu,2023-01-08,15801,Seodaemun-gu,2023-04-19,2892.0
Gwanak-gu,2023-01-08,30342,Seocho-gu,2023-04-19,18729.0
Yongsan-gu,2023-01-08,612,Gangnam-gu,2023-04-19,16580.0
Geumcheon-gu,2023-01-08,81375,Seongdong-gu,2023-04-19,1926.0
Jongno-gu,2023-01-09,15938,Gwangjin-gu,2023-04-19,7792.0
Gangbuk-gu,2023-01-09,94096,Jongno-gu,2023-04-19,4286.0
Nowon-gu,2023-01-09,54655,Gangbuk-gu,2023-04-19,2659.0
Yangcheon-gu,2023-01-09,104169,Seoul_Grand_Park,2023-04-20,4960.0
Gangseo-gu,2023-01-09,56552,Gangdong-gu,2023-04-20,5096.0
Gwanak-gu,2023-01-09,29952,Gwanak-gu,2023-04-20,2222.0
Mapo-gu,2023-01-09,105759,Eunpyeong-gu,2023-04-20,2404.0
Dobong-gu,2023-01-09,119851,Gangseo-gu,2023-04-20,5643.0
Songpa-gu,2023-01-09,25502,Jung-gu,2023-04-20,28858.0
Gangnam-gu,2023-01-09,113233,Yangcheon-gu,2023-04-20,2494.0
Geumcheon-gu,2023-01-09,107481,Mapo-gu,2023-04-20,1264.0
Seodaemun-gu,2023-01-09,5704,Songpa-gu,2023-04-20,1363.0
Jungnang-gu,2023-01-09,47274,Gwangjin-gu,2023-04-20,7701.0
Seongdong-gu,2023-01-09,2398,Gangbuk-gu,2023-04-20,2343.0
Dongjak-gu,2023-01-09,160674,Seocho-gu,2023-04-20,20284.0
Eunpyeong-gu,2023-01-09,5038,Seongdong-gu,2023-04-20,1463.0
Guro-gu,2023-01-09,131137,Yongsan-gu,2023-04-20,229.0
Jung-gu,2023-01-09,69116,Jongno-gu,2023-04-20,2936.0
Seocho-gu,2023-01-09,60834,Gangnam-gu,2023-04-20,17696.0
Gangdong-gu,2023-01-09,105808,Seodaemun-gu,2023-04-20,2434.0
Gwangjin-gu,2023-01-09,78256,Gangbuk-gu,2023-04-21,2278.0
Yongsan-gu,2023-01-09,569,Gangnam-gu,2023-04-21,16429.0
Seoul_Grand_Park,2023-01-09,6675,Mapo-gu,2023-04-21,1187.0
Nowon-gu,2023-01-10,55632,Eunpyeong-gu,2023-04-21,2386.0
Jungnang-gu,2023-01-10,47348,Jung-gu,2023-04-21,23292.0
Jung-gu,2023-01-10,62420,Seongdong-gu,2023-04-21,1736.0
Geumcheon-gu,2023-01-10,109532,Gwanak-gu,2023-04-21,1867.0
Gangnam-gu,2023-01-10,121502,Gwangjin-gu,2023-04-21,6663.0
Gangbuk-gu,2023-01-10,95106,Gangdong-gu,2023-04-21,4722.0
Songpa-gu,2023-01-10,26199,Gangseo-gu,2023-04-21,5092.0
Seodaemun-gu,2023-01-10,6523,Yangcheon-gu,2023-04-21,1772.0
Yongsan-gu,2023-01-10,546,Seocho-gu,2023-04-21,20501.0
Guro-gu,2023-01-10,133161,Yongsan-gu,2023-04-21,213.0
