자치구,측정날짜,방문자수,SIG_CD
Seodaemun-gu,2023-01-21,6752.0,11410
Mapo-gu,2023-01-21,115594.0,11440
Gwangjin-gu,2023-01-22,60361.0,11215
Seodaemun-gu,2023-01-22,2784.0,11410
Geumcheon-gu,2023-01-22,75566.0,11545
Mapo-gu,2023-01-22,88006.0,11440
Jung-gu,2023-01-22,60326.0,11140
Gangseo-gu,2023-01-22,39844.0,11500
Nowon-gu,2023-01-22,48731.0,11350
Eunpyeong-gu,2023-01-22,2733.0,11380
Gangdong-gu,2023-01-22,79374.0,11740
Gwanak-gu,2023-01-22,24676.0,11620
Seocho-gu,2023-01-22,13016.0,11650
Gangbuk-gu,2023-01-22,77197.0,11305
Yangcheon-gu,2023-01-22,86734.0,11470
Yongsan-gu,2023-01-22,510.0,11170
Dobong-gu,2023-01-22,109944.0,11320
Gangnam-gu,2023-01-22,68072.0,11680
Songpa-gu,2023-01-22,23287.0,11710
Jongno-gu,2023-01-22,6721.0,11110
Seongdong-gu,2023-01-22,2080.0,11200
Dongjak-gu,2023-01-22,121289.0,11590
Guro-gu,2023-01-22,113284.0,11530
Jungnang-gu,2023-01-22,44075.0,11260
Yongsan-gu,2023-01-23,683.0,11170
Dongjak-gu,2023-01-23,122246.0,11590
Dobong-gu,2023-01-23,113624.0,11320
Mapo-gu,2023-01-23,103798.0,11440
Guro-gu,2023-01-23,118120.0,11530
Geumcheon-gu,2023-01-23,77933.0,11545
Gwangjin-gu,2023-01-23,65736.0,11215
Songpa-gu,2023-01-23,26480.0,11710
Gangseo-gu,2023-01-23,42611.0,11500
Seongdong-gu,2023-01-23,3985.0,11200
Gangnam-gu,2023-01-23,79040.0,11680
Nowon-gu,2023-01-23,51523.0,11350
Jung-gu,2023-01-23,74584.0,11140
Seocho-gu,2023-01-23,20489.0,11650
Jungnang-gu,2023-01-23,43256.0,11260
Gwanak-gu,2023-01-23,27048.0,11620
Gangbuk-gu,2023-01-23,79682.0,11305
Eunpyeong-gu,2023-01-23,3046.0,11380
Yangcheon-gu,2023-01-23,91183.0,11470
Seodaemun-gu,2023-01-23,3784.0,11410
Gangdong-gu,2023-01-23,89880.0,11740
Jongno-gu,2023-01-23,8349.0,11110
Seocho-gu,2023-01-24,15062.0,11650
Seodaemun-gu,2023-01-24,2517.0,11410
Dobong-gu,2023-01-24,107845.0,11320
Gwanak-gu,2023-01-24,23892.0,11620
Yangcheon-gu,2023-01-24,81223.0,11470
Jongno-gu,2023-01-24,3441.0,11110
Songpa-gu,2023-01-24,2429.0,11710
Nowon-gu,2023-01-24,48542.0,11350
Jungnang-gu,2023-01-24,40636.0,11260
Gangnam-gu,2023-01-24,78706.0,11680
Eunpyeong-gu,2023-01-24,1732.0,11380
Gwangjin-gu,2023-01-24,60330.0,11215
Yongsan-gu,2023-01-24,211.0,11170
Gangbuk-gu,2023-01-24,71405.0,11305
Jung-gu,2023-01-24,35564.0,11140
Guro-gu,2023-01-24,111300.0,11530
Gangdong-gu,2023-01-24,83366.0,11740
Geumcheon-gu,2023-01-24,75580.0,11545
Seongdong-gu,2023-01-24,1580.0,11200
Gangseo-gu,2023-01-24,38961.0,11500
Dongjak-gu,2023-01-24,53597.0,11590
Mapo-gu,2023-01-24,85364.0,11440
Gwangjin-gu,2023-01-25,68589.0,11215
Mapo-gu,2023-01-25,91828.0,11440
Gangseo-gu,2023-01-25,51199.0,11500
Yangcheon-gu,2023-01-25,88655.0,11470
Jongno-gu,2023-01-25,3937.0,11110
Jungnang-gu,2023-01-25,41584.0,11260
Dongjak-gu,2023-01-25,84839.0,11590
Yongsan-gu,2023-01-25,400.0,11170
Jung-gu,2023-01-25,48144.0,11140
Dobong-gu,2023-01-25,110266.0,11320
Eunpyeong-gu,2023-01-25,3839.0,11380
Gangbuk-gu,2023-01-25,80666.0,11305
Seodaemun-gu,2023-01-25,5020.0,11410
Geumcheon-gu,2023-01-25,97998.0,11545
Seongdong-gu,2023-01-25,1878.0,11200
Seocho-gu,2023-01-25,30723.0,11650
Songpa-gu,2023-01-25,8648.0,11710
Gangdong-gu,2023-01-25,94634.0,11740
Guro-gu,2023-01-25,118267.0,11530
Nowon-gu,2023-01-25,50096.0,11350
Gwanak-gu,2023-01-25,26660.0,11620
Gangnam-gu,2023-01-25,104168.0,11680
Jongno-gu,2023-01-26,4027.0,11110
Jungnang-gu,2023-01-26,18229.0,11260
Guro-gu,2023-01-26,51089.0,11530
Gangnam-gu,2023-01-26,77911.0,11680
Yongsan-gu,2023-01-26,461.0,11170
Seongdong-gu,2023-01-26,2696.0,11200
Jung-gu,2023-01-26,59861.0,11140
Dobong-gu,2023-01-26,51925.0,11320
Dongjak-gu,2023-01-26,34941.0,11590
Songpa-gu,2023-01-26,1905.0,11710
Gangbuk-gu,2023-01-26,36397.0,11305
Gwanak-gu,2023-01-26,15058.0,11620
Geumcheon-gu,2023-01-26,42368.0,11545
Seocho-gu,2023-01-26,35311.0,11650
Eunpyeong-gu,2023-01-26,4082.0,11380
Seodaemun-gu,2023-01-26,4654.0,11410
