자치구,측정날짜,방문자수
Eunpyeong-gu,2023-05-09,2045
Gwangjin-gu,2023-05-09,6725
Gangbuk-gu,2023-05-09,2187
Jung-gu,2023-05-09,21747
Mapo-gu,2023-05-09,1157
Gangdong-gu,2023-05-09,4758
Gangnam-gu,2023-05-09,18095
Jongno-gu,2023-05-09,2788
Seocho-gu,2023-05-09,23807
Yongsan-gu,2023-05-09,193
Seodaemun-gu,2023-05-09,2789
Seongdong-gu,2023-05-09,1617
Songpa-gu,2023-05-09,92
Gangseo-gu,2023-05-09,5378
Seodaemun-gu,2023-05-10,2787
Jung-gu,2023-05-10,18326
Seoul_Grand_Park,2023-05-10,5261
Seocho-gu,2023-05-10,23658
Gwanak-gu,2023-05-10,1896
Yongsan-gu,2023-05-10,209
Yangcheon-gu,2023-05-10,2031
Gangseo-gu,2023-05-10,6395
Gangnam-gu,2023-05-10,18829
Gangdong-gu,2023-05-10,5042
Eunpyeong-gu,2023-05-10,1854
Gangbuk-gu,2023-05-10,2090
Mapo-gu,2023-05-10,1168
Seongdong-gu,2023-05-10,1871
Jongno-gu,2023-05-10,2985
Songpa-gu,2023-05-10,29
Gwangjin-gu,2023-05-10,6968
Seodaemun-gu,2023-05-11,2598
Gwanak-gu,2023-05-11,2125
Gangbuk-gu,2023-05-11,2336
Gangdong-gu,2023-05-11,4860
Songpa-gu,2023-05-11,42
Yongsan-gu,2023-05-11,155
Seongdong-gu,2023-05-11,1858
Seoul_Grand_Park,2023-05-11,6607
Jongno-gu,2023-05-11,3506
Seocho-gu,2023-05-11,20320
Gangseo-gu,2023-05-11,5875
Gangnam-gu,2023-05-11,15713
Jung-gu,2023-05-11,22473
Eunpyeong-gu,2023-05-11,2186
Mapo-gu,2023-05-11,1350
Gwangjin-gu,2023-05-11,7612
Yangcheon-gu,2023-05-11,2546
Seongdong-gu,2023-05-12,2260
Gangnam-gu,2023-05-12,21449
Jung-gu,2023-05-12,27437
Jongno-gu,2023-05-12,3343
Seocho-gu,2023-05-12,26391
Mapo-gu,2023-05-12,1325
Gwangjin-gu,2023-05-12,7364
Eunpyeong-gu,2023-05-12,2382
Gangbuk-gu,2023-05-12,2587
Seodaemun-gu,2023-05-12,2579
Seoul_Grand_Park,2023-05-12,14608
Gangseo-gu,2023-05-12,5614
Songpa-gu,2023-05-12,4
Yangcheon-gu,2023-05-12,2692
Gwanak-gu,2023-05-12,2534
Gangdong-gu,2023-05-12,4920
Yongsan-gu,2023-05-12,195
Seocho-gu,2023-05-13,24977
Gwangjin-gu,2023-05-13,7528
Jongno-gu,2023-05-13,4333
Songpa-gu,2023-05-13,103
Jung-gu,2023-05-13,27511
Mapo-gu,2023-05-13,2150
Gangdong-gu,2023-05-13,4467
Gwanak-gu,2023-05-13,2805
Gangbuk-gu,2023-05-13,2582
Yongsan-gu,2023-05-13,394
Seongdong-gu,2023-05-13,4259
Yangcheon-gu,2023-05-13,2089
Seodaemun-gu,2023-05-13,2798
Gangseo-gu,2023-05-13,4534
Eunpyeong-gu,2023-05-13,2636
Seoul_Grand_Park,2023-05-13,22927
Gangnam-gu,2023-05-13,22388
Gangnam-gu,2023-05-14,13891
Gangbuk-gu,2023-05-14,1962
Yangcheon-gu,2023-05-14,1541
Mapo-gu,2023-05-14,1315
Gangdong-gu,2023-05-14,3162
Songpa-gu,2023-05-14,248
Seoul_Grand_Park,2023-05-14,16404
Seocho-gu,2023-05-14,16452
Gwangjin-gu,2023-05-14,5532
Eunpyeong-gu,2023-05-14,1636
Jongno-gu,2023-05-14,3779
Seodaemun-gu,2023-05-14,2356
Gangseo-gu,2023-05-14,2717
Jung-gu,2023-05-14,20744
Seongdong-gu,2023-05-14,2960
Yongsan-gu,2023-05-14,254
Gwanak-gu,2023-05-14,2379
Yongsan-gu,2023-05-15,102
Gwangjin-gu,2023-05-15,9059
Eunpyeong-gu,2023-05-15,2671
Seoul_Grand_Park,2023-05-15,6721
Gangseo-gu,2023-05-15,6360
Yangcheon-gu,2023-05-15,2918
Gangbuk-gu,2023-05-15,2886
Gangnam-gu,2023-05-15,17630
Seongdong-gu,2023-05-15,1622
Seodaemun-gu,2023-05-15,2662
Mapo-gu,2023-05-15,1217
Jung-gu,2023-05-15,33177
Songpa-gu,2023-05-15,69
Gangdong-gu,2023-05-15,5230
Gwanak-gu,2023-05-15,2977
Seocho-gu,2023-05-15,23258
Jongno-gu,2023-05-15,2922
Seongdong-gu,2023-05-16,1138
Eunpyeong-gu,2023-05-16,1748
Yongsan-gu,2023-05-16,77
Gwangjin-gu,2023-05-16,6403
Jung-gu,2023-05-16,22922
Gangdong-gu,2023-05-16,3591
Seoul_Grand_Park,2023-05-16,3852
Gangbuk-gu,2023-05-16,2004
Gangseo-gu,2023-05-16,4786
Gangnam-gu,2023-05-16,16949
Seodaemun-gu,2023-05-16,2525
Jongno-gu,2023-05-16,2593
Songpa-gu,2023-05-16,35
Seocho-gu,2023-05-16,20733
Gwanak-gu,2023-05-16,1745
Yangcheon-gu,2023-05-16,1943
Mapo-gu,2023-05-16,881
Songpa-gu,2023-05-17,231
Seodaemun-gu,2023-05-17,2614
Gangnam-gu,2023-05-17,14984
Jongno-gu,2023-05-17,3321
Seongdong-gu,2023-05-17,1710
Yongsan-gu,2023-05-17,55
Seoul_Grand_Park,2023-05-17,6073
Yangcheon-gu,2023-05-17,2467
Seocho-gu,2023-05-17,21190
Gwanak-gu,2023-05-17,2016
Mapo-gu,2023-05-17,1192
Gangseo-gu,2023-05-17,5698
Eunpyeong-gu,2023-05-17,2295
Gangdong-gu,2023-05-17,4758
Jung-gu,2023-05-17,24491
Gwangjin-gu,2023-05-17,7169
Gangbuk-gu,2023-05-17,2288
Jung-gu,2023-05-18,34150
Mapo-gu,2023-05-18,1509
Seocho-gu,2023-05-18,23428
Gangdong-gu,2023-05-18,5946
Yongsan-gu,2023-05-18,273
Songpa-gu,2023-05-18,0
Jongno-gu,2023-05-18,4017
Gangnam-gu,2023-05-18,18972
Yangcheon-gu,2023-05-18,3231
Seodaemun-gu,2023-05-18,2617
Gwangjin-gu,2023-05-18,8956
Eunpyeong-gu,2023-05-18,2956
Gangseo-gu,2023-05-18,8309
Seongdong-gu,2023-05-18,2029
Gwanak-gu,2023-05-18,2800
Gangbuk-gu,2023-05-18,2756
Seoul_Grand_Park,2023-05-18,7511
Gangbuk-gu,2023-05-19,2993
Gwangjin-gu,2023-05-19,7769
Songpa-gu,2023-05-19,3
Gangdong-gu,2023-05-19,5483
Eunpyeong-gu,2023-05-19,2541
Gangseo-gu,2023-05-19,7540
Yangcheon-gu,2023-05-19,2658
Gwanak-gu,2023-05-19,2683
Jung-gu,2023-05-19,28270
Yongsan-gu,2023-05-19,84
Seoul_Grand_Park,2023-05-19,11327
Mapo-gu,2023-05-19,1310
Seodaemun-gu,2023-05-19,3132
Seongdong-gu,2023-05-19,2899
Gangnam-gu,2023-05-19,20164
Seocho-gu,2023-05-19,27080
Jongno-gu,2023-05-19,5104
